# DescriptionWh (Composition, Meaning, Abbreviation)

# Composition

What are doors made of? | Composition
What are chairs made of? | Composition
What are windows made of? | Composition
What is a window made of? | Composition
What is a person made of? | Composition
What is a widow made of? | Composition
What is a snake made of? | Composition
What is a cloud made of? | Composition
What is a jacket made of? | Composition
What is the Sun made of? | Composition
What is the Earth made of? | Composition
What are the buses made of? | Composition
What are the bicycles made of? | Composition
What are the b made of? | Composition
What are the buses made of? | Composition
What is my paper made of? | Composition
What is your bag made of? | Composition
What is your pencil made of? | Composition
What is your beverage made of? | Composition
What is your mouse made of? | Composition
What is your bag made of? | Composition
What are locks made of? | Composition
What are lockers made of? | Composition
What is plastic made of? | Composition
What is rubber made of? | Composition
What is metal made of? | Composition
What is a battery made of? | Composition
What are batteries made of? | Composition



# Meaning

What does war mean? | Meaning
What does happy mean? | Meaning
What does pretty mean? | Meaning
What does stupid mean? | Meaning
What does cloak mean? | Meaning
What does tidy mean? | Meaning
What does selfish mean? | Meaning
What does the word clever mean? | Meaning
What does the word girl mean? | Meaning
What does the word ant mean? | Meaning
What does the word homogeneous mean? | Meaning
What does the word protective mean? | Meaning
What is the meaning of juice? | Meaning
What is the meaning of milk? | Meaning
What is the meaning of rock? | Meaning
What is the meaning of asshole? | Meaning
What is the meaning of wtf? | Meaning
What is the meaning of atm? | Meaning
What is the meaning of zapping? | Meaning
What is the meaning of player? | Meaning
What is the meaning of bang? | Meaning
What is the meaning of thief? | Meaning
What is the meaning of miscellaneous? | Meaning
What's the meaning of broke? | Meaning
What's the meaning of mad? | Meaning
What's the meaning of slut? | Meaning
What's the meaning of badass? | Meaning

What is an Eucalyptus tree? | Meaning
What is a king? | Meaning
What is a duck? | Meaning
What is a chicken? | Meaning
What is a pen? | Meaning
What is a car? | Meaning
What is a street? | Meaning
What is an avenue? | Meaning
What is an elephant? | Meaning
What is an eye? | Meaning
What is an ear? | Meaning
What is a haircut? | Meaning
What's a booger? | Meaning
What's a brain? | Meaning
What's a hog? | Meaning
What's a purse? | Meaning
What's an animal? | Meaning
What's plug? | Meaning
What's ground? | Meaning
What's pencil? | Meaning
What is happy? | Meaning
What is dunkin donuts? | Meaning
What is starbucks? | Meaning
What is Santa Claus? | Meaning
What is a bad ass? | Meaning
What is a mellon? | Meaning
What are mellons? | Meaning
What are children? | Meaning
What are trees? | Meaning
What are planets? | Meaning
What are cars? | Meaning
What are doors? | Meaning
What are backpacks? | Meaning
What are dogs? | Meaning
What are signs? | Meaning


# Abbreviation
What is the full form of .com? | Abbreviation
What does the abbreviation AIDS stand for? | Abbreviation
What does INRI stand for when used on Jesus cross? | Abbreviation
What does S.O.S. stand for? | Abbreviation
CNN is the abbreviation for what? | Abbreviation
What does PSI stand for? | Abbreviation
What is the abbreviation for micro? | Abbreviation
What does NASDAQ stand for? | Abbreviation
What is BPH? | Abbreviation
What is the abbreviation of the company name General Motors? | Abbreviation
What does G.M.T. stand for? | Abbreviation
What does SIDS stand for? | Abbreviation
When reading classified ads , what does EENTY : other stand for? | Abbreviation
What is the abbreviated expression for the National Bureau of Investigation? | Abbreviation
What does NAFTA stand for? | Abbreviation
What is the full name of the PLO? | Abbreviation
What does the word LASER mean? | Abbreviation
What does NN O mean when used as a prefix in Irish surnames? | Abbreviation
